Sentence,Sentiment,entities
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",neutral,"[('Finnish', 'NORP'), ('approximately seven', 'CARDINAL'), ('monthly', 'DATE'), ('about half', 'CARDINAL')]"
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive,"[('last week', 'DATE'), ('today', 'DATE'), ('$FB $', 'MONEY'), ('NFLX', 'ORG')]"
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",positive,"[('February 2011 - Finnish', 'DATE'), ('Teleste Oyj HEL', 'PERSON'), ('Wednesday', 'DATE'), ('2010', 'DATE'), ('EUR416', 'ORG'), ('000', 'CARDINAL'), ('2009', 'DATE')]"
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,positive,"[('FREE Ha Heeeeeere', 'PERSON'), ('9K end of day', 'DATE')]"
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",positive,"[('Finnish', 'NORP'), ('Aspocomp Group Oyj', 'ORG'), ('third quarter', 'DATE'), ('Thursday', 'DATE'), ('13 November', 'DATE'), ('EUR0', 'ORG'), ('the third quarter of 2007', 'DATE')]"
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",neutral,"[('49,200 square metres', 'QUANTITY')]"
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,neutral,"[('Finnish', 'NORP'), ('Fennia', 'GPE'), ('Kesko Group', 'ORG')]"
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,neutral,"[('the second half of 2007', 'DATE'), ('2008', 'DATE')]"
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",neutral,"[('ITG', 'GPE'), ('627,000', 'MONEY')]"
The plant is expected to enter commercial operation by mid-2009 .,neutral,"[('mid-2009', 'DATE')]"
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,neutral,"[('Kaukomarkkinat', 'ORG')]"
BG Group appoints new CEO one month early,neutral,"[('BG Group', 'ORG'), ('one month', 'DATE')]"
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,positive,"[('Aspocomp', 'PRODUCT')]"
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",negative,"[('Finnair', 'ORG'), ('1.3', 'CARDINAL'), ('76.7 %', 'PERCENT'), ('September', 'DATE')]"
RT @bman1 $LNG looks primed also $EGHT poised to run too...,positive,"[('RT @bman1', 'ORG'), ('LNG', 'ORG'), ('EGHT', 'PERSON')]"
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,positive,"[('7.7', 'CARDINAL'), ('12-month', 'DATE')]"
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,neutral,"[('Coke', 'ORG'), ('3%', 'PERCENT'), ('Google', 'ORG'), ('0%', 'PERCENT'), ('Coke', 'ORG'), ('$GOOG $', 'MONEY')]"
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",positive,"[('EUR 5.4', 'PRODUCT'), ('EUR 3.6', 'ORG'), ('a year earlier', 'DATE')]"
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral,"[('Nokia', 'ORG'), ('Sriperumbudur near Chennai', 'ORG')]"
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,"[('CRM Sep', 'PERSON'), ('BANG', 'PERSON')]"
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",negative,"[('January-June 2010', 'DATE'), ('the first half of 2009', 'DATE')]"
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,positive,"[('Rapala', 'PERSON'), ('1', 'CARDINAL'), ('French', 'NORP'), ('one', 'CARDINAL')]"
$VMW  Got a nice push today following small sweepers of May C this morning,positive,"[('VMW', 'PERSON'), ('today', 'DATE'), ('May C', 'DATE'), ('this morning', 'TIME')]"
That topped consensus forecasts for earnings of 0.21 euros a share .,positive,"[('0.21', 'CARDINAL')]"
R&D Loan ) .,neutral,"[('R&D Loan', 'ORG')]"
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",positive,[]
"You need to be ready when the window opens up , Rosberg said .",neutral,"[('Rosberg', 'PERSON')]"
"More than 50,000 tonnes of asphalt mix will be used in the contract .",neutral,"[('More than 50,000', 'CARDINAL')]"
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",neutral,"[('JPMorgan Chase', 'ORG'), ('NYSE', 'ORG'), ('JPM', 'ORG'), ('Pohjoa Bank', 'ORG')]"
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive,"[('48', 'CARDINAL')]"
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",neutral,"[('Finland', 'GPE'), ('10.5 %', 'PERCENT'), ('January', 'DATE'), ('Finland', 'GPE'), ('17 %', 'PERCENT')]"
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",negative,"[('Finnish', 'NORP'), ('about 1,100', 'CARDINAL')]"
Nordea was the cheapest also for a couple in their 30s with debt .,neutral,"[('30s', 'DATE')]"
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",neutral,"[('Jussi Pesonen', 'PERSON'), ('the Sampo Board', 'ORG'), ('2006', 'DATE'), ('Sampo Board', 'ORG')]"
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",negative,"[('Tesla', 'ORG'), ('2,700', 'CARDINAL'), ('Model X', 'PRODUCT'), ('TSLA', 'PERSON')]"
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",positive,"[('Group', 'ORG'), ('Division', 'ORG'), ('1.7 %', 'PERCENT')]"
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",neutral,[]
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,[]
The solution will now be expanded to include all ground staff tasks .,neutral,[]
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",negative,"[('EUR', 'ORG'), ('3.2', 'CARDINAL'), ('EUR 7.2', 'PRODUCT'), ('the third quarter of 2008', 'DATE')]"
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive,"[('FEDDAY', 'PERSON'), ('$AAPL $', 'MONEY'), ('$LOW $FB', 'MONEY'), ('$UVXY $', 'MONEY'), ('TVIX', 'PERSON')]"
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",positive,"[('EUR', 'ORG'), ('93.6', 'CARDINAL'), ('EUR', 'ORG'), ('93.2', 'CARDINAL'), ('2005', 'DATE')]"
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,neutral,"[('the Works Council', 'ORG')]"
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,positive,"[('Erkki J+ñrvinen', 'PERSON'), ('2010', 'DATE')]"
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",positive,"[('more than 10 %', 'PERCENT'), ('2008', 'DATE')]"
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",positive,"[('Lundbeck', 'PERSON'), ('North America', 'LOC'), ('Mexico', 'GPE'), ('Turkey', 'GPE'), ('South-Korea', 'GPE')]"
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",neutral,"[('last month', 'DATE'), ('8 percent', 'PERCENT'), ('TeliaSonera', 'ORG')]"
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",neutral,"[('ten', 'CARDINAL'), ('European', 'NORP')]"
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",positive,"[('three-month', 'DATE'), ('EUR16 .0', 'ORG'), ('2006', 'DATE')]"
The company expects its net sales for the whole 2009 to be at previous year levels .,neutral,"[('2009', 'DATE'), ('previous year', 'DATE')]"
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",neutral,"[('Sievi', 'GPE'), ('Finland', 'GPE'), ('the Nordic Exchange', 'ORG'), ('Helsinki', 'GPE')]"
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",positive,"[('22 %', 'PERCENT'), ('EUR 4.4', 'ORG'), ('13.5 %', 'PERCENT')]"
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",neutral,"[('Finnish', 'NORP'), ('UK', 'GPE'), ('50', 'CARDINAL'), ('London', 'GPE'), ('Birmingham', 'GPE'), ('Manchester', 'PERSON'), ('Hampden', 'ORG'), ('July 2001', 'DATE'), ('European', 'NORP'), ('Sampo Industrial', 'PERSON')]"
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",negative,"[('22.5 %', 'PERCENT'), ('EUR 201.4', 'ORG')]"
"The Innova 2 building will be located close to downtown , in the immediate vicinity of Paviljonki and the travel center , and within walking distance from the heart of the city thanks to the trade fair bridge .",neutral,"[('Innova', 'PERSON'), ('2', 'CARDINAL'), ('Paviljonki', 'GPE')]"
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",neutral,"[('Finnish', 'NORP'), ('Marimekko Oyj', 'PERSON'), ('7.99 mln euro', 'MONEY'), ('10.4', 'MONEY'), ('2006', 'DATE'), ('8.4 mln', 'QUANTITY'), ('10.9', 'MONEY'), ('2005', 'DATE')]"
The main strength of the cooperation project lies in merging the know-how of two large companies .,positive,"[('two', 'CARDINAL')]"
Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting .,neutral,"[('AGM', 'ORG')]"
Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries .,positive,"[('Outotec', 'NORP'), ('Finland', 'GPE'), ('Kazakhstan', 'GPE')]"
"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",neutral,[]
The government has instead proposed an exchange of the state 's stake in LMT to TeliaSonera 's stake in Lattelecom .,neutral,"[('LMT', 'ORG'), ('TeliaSonera', 'ORG'), ('Lattelecom', 'ORG')]"
Stora is due to release its fourth-quarter and 2009 full-year earnings on Feb. 4 .,neutral,"[('Stora', 'PERSON'), ('fourth-quarter', 'DATE'), ('2009', 'DATE'), ('Feb. 4', 'DATE')]"
Full-year operating result for 2008 was 3.6 million negative .,neutral,"[('Full-year', 'DATE'), ('2008', 'DATE'), ('3.6 million', 'CARDINAL')]"
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,"[('18.89', 'CARDINAL')]"
"In 2008 , AVC Systemhaus had net sales of EUR 10 million USD 7.1 m .",neutral,"[('2008', 'DATE'), ('AVC Systemhaus', 'PERSON'), ('EUR 10 million USD', 'MONEY')]"
"The company has established a 3G base station at about 17,000 feet at the foot of Mount Everest that will enable mountain climbers at the 29,035-foot summit to surf the Internet and even send videos of their exploits .",positive,"[('3', 'CARDINAL'), ('about 17,000 feet', 'QUANTITY'), ('Mount Everest', 'LOC'), ('29,035-foot', 'QUANTITY')]"
We offer our customers solutions based on renewable raw materials .,neutral,[]
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,neutral,"[('Taloustutkimus', 'GPE'), ('Sampo Life', 'WORK_OF_ART')]"
"Antti Orkola , president of Kemira GrowHow 's Industrial Solutions unit , told Thomson Financial News the company has put off opening the mine as prices of phosphate have been ` quite depressed for a long time ' . '",neutral,"[('Antti Orkola', 'ORG'), (""Kemira GrowHow 's"", 'ORG'), ('Industrial Solutions', 'ORG'), ('Thomson Financial News', 'ORG')]"
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,positive,[]
We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries .,neutral,"[('Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines', 'ORG'), ('Asian', 'NORP')]"
"The Company serves approximately 3,000 customers in over 100 countries .",neutral,"[('Company', 'ORG'), ('approximately 3,000', 'CARDINAL'), ('100', 'CARDINAL')]"
RT @alphatrends VMarkets Are Still Acting Weak http://stks.co/1agn  $SPY $QQQ $XLF $SMH $IWM,negative,"[('$SPY $QQQ $XLF $SMH $', 'MONEY'), ('IWM', 'ORG')]"
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier .",neutral,"[('EUR', 'ORG'), ('30.2', 'CARDINAL'), ('EUR', 'ORG'), ('a year earlier', 'DATE')]"
"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive,"[('One', 'CARDINAL')]"
HELSINKI ( AFX ) - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for 10 mln eur worth of Belvedere shares .,neutral,"[('AFX', 'ORG'), ('Hitura', 'NORP'), ('Finland', 'GPE'), ('Canadian', 'NORP'), ('Belvedere Resources Ltd', 'ORG'), ('10', 'CARDINAL'), ('Belvedere', 'ORG')]"
Just went long $ILMN,positive,[]
`` Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users .,neutral,"[('today', 'DATE'), ('MID', 'ORG')]"
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,neutral,"[('30 %', 'PERCENT'), ('the fourth quarter of 2009', 'DATE'), ('the second quarter of 2010', 'DATE')]"
Johnson Matthey share price slumps as company posts full-year results,negative,"[('Johnson Matthey', 'PERSON'), ('full-year', 'DATE')]"
There have not been previous share subscriptions with 2004 stock options .,neutral,"[('2004', 'CARDINAL')]"
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,neutral,"[('AffectoGenimap', 'ORG'), ('Finland', 'GPE'), ('Baltic', 'NORP')]"
"The closing of the transaction is scheduled to take place on January 10 , 2008 .",neutral,"[('January 10 , 2008', 'DATE')]"
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,[]
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",neutral,"[('12-month', 'DATE'), ('EUR5', 'GPE'), ('2004', 'DATE')]"
The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,neutral,"[('Irish', 'NORP'), ('the next 15 months', 'DATE')]"
Net sales in 2008 are expected to be on the same level as in 2007 .,neutral,"[('2008', 'DATE'), ('2007', 'DATE')]"
Technical indicators for the stock are bullish and S&P gives NOK a positive 4 STARS out of 5 buy ranking .,positive,"[('S&P', 'ORG'), ('NOK', 'ORG'), ('4', 'CARDINAL'), ('5', 'CARDINAL')]"
"Revenue for the quarter totaled 27.4 billion , down 2 percent from 28.1 billion in the fourth quarter in 2008 .",negative,"[('the quarter', 'DATE'), ('27.4 billion', 'MONEY'), ('2 percent', 'PERCENT'), ('28.1 billion', 'MONEY'), ('the fourth quarter in 2008', 'DATE')]"
N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral,[]
The number of bodily injury cases quadrupled in 2000-2006 .,negative,"[('2000-2006', 'DATE')]"
"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",positive,"[('Ringman', 'PERSON'), ('Finnish', 'NORP')]"
